FIPS,STATE,ST_ABBR,COUNTY
6099,CALIFORNIA,CA,Stanislaus
6101,CALIFORNIA,CA,Sutter
6103,CALIFORNIA,CA,Tehama
6105,CALIFORNIA,CA,Trinity
6107,CALIFORNIA,CA,Tulare
6109,CALIFORNIA,CA,Tuolumne
6111,CALIFORNIA,CA,Ventura
6113,CALIFORNIA,CA,Yolo
6115,CALIFORNIA,CA,Yuba
8001,COLORADO,CO,Adams
8003,COLORADO,CO,Alamosa
8005,COLORADO,CO,Arapahoe
8007,COLORADO,CO,Archuleta
8009,COLORADO,CO,Baca
8011,COLORADO,CO,Bent
8013,COLORADO,CO,Boulder
8014,COLORADO,CO,Broomfield
8015,COLORADO,CO,Chaffee
8017,COLORADO,CO,Cheyenne
8019,COLORADO,CO,Clear Creek
8021,COLORADO,CO,Conejos
8023,COLORADO,CO,Costilla
8025,COLORADO,CO,Crowley
8027,COLORADO,CO,Custer
8029,COLORADO,CO,Delta
8031,COLORADO,CO,Denver
8033,COLORADO,CO,Dolores
8035,COLORADO,CO,Douglas
8037,COLORADO,CO,Eagle
8039,COLORADO,CO,Elbert
8041,COLORADO,CO,El Paso
8043,COLORADO,CO,Fremont
8045,COLORADO,CO,Garfield
8047,COLORADO,CO,Gilpin
8049,COLORADO,CO,Grand
8051,COLORADO,CO,Gunnison
8053,COLORADO,CO,Hinsdale
8055,COLORADO,CO,Huerfano
8057,COLORADO,CO,Jackson
8059,COLORADO,CO,Jefferson
8061,COLORADO,CO,Kiowa
8063,COLORADO,CO,Kit Carson
8065,COLORADO,CO,Lake
8067,COLORADO,CO,La Plata
8069,COLORADO,CO,Larimer
8071,COLORADO,CO,Las Animas
8073,COLORADO,CO,Lincoln
8075,COLORADO,CO,Logan
8077,COLORADO,CO,Mesa
8079,COLORADO,CO,Mineral
8081,COLORADO,CO,Moffat
8083,COLORADO,CO,Montezuma
8085,COLORADO,CO,Montrose
8087,COLORADO,CO,Morgan
8089,COLORADO,CO,Otero
8091,COLORADO,CO,Ouray
8093,COLORADO,CO,Park
8095,COLORADO,CO,Phillips
8097,COLORADO,CO,Pitkin
8099,COLORADO,CO,Prowers
8101,COLORADO,CO,Pueblo
8103,COLORADO,CO,Rio Blanco
8105,COLORADO,CO,Rio Grande
8107,COLORADO,CO,Routt
8109,COLORADO,CO,Saguache
8111,COLORADO,CO,San Juan
8113,COLORADO,CO,San Miguel
8115,COLORADO,CO,Sedgwick
8117,COLORADO,CO,Summit
8119,COLORADO,CO,Teller
8121,COLORADO,CO,Washington
8123,COLORADO,CO,Weld
8125,COLORADO,CO,Yuma
9001,CONNECTICUT,CT,Fairfield
9003,CONNECTICUT,CT,Hartford
9005,CONNECTICUT,CT,Litchfield
9007,CONNECTICUT,CT,Middlesex
9009,CONNECTICUT,CT,New Haven
9011,CONNECTICUT,CT,New London
9013,CONNECTICUT,CT,Tolland
9015,CONNECTICUT,CT,Windham
10001,DELAWARE,DE,Kent
10003,DELAWARE,DE,New Castle
10005,DELAWARE,DE,Sussex
11001,DISTRICT OF COLUMBIA,DC,District of Columbia
12001,FLORIDA,FL,Alachua
12003,FLORIDA,FL,Baker
12005,FLORIDA,FL,Bay
12007,FLORIDA,FL,Bradford
12009,FLORIDA,FL,Brevard
12011,FLORIDA,FL,Broward
12013,FLORIDA,FL,Calhoun
12015,FLORIDA,FL,Charlotte
12017,FLORIDA,FL,Citrus
12019,FLORIDA,FL,Clay
12021,FLORIDA,FL,Collier
12023,FLORIDA,FL,Columbia
12027,FLORIDA,FL,DeSoto
12029,FLORIDA,FL,Dixie
12031,FLORIDA,FL,Duval
12033,FLORIDA,FL,Escambia
12035,FLORIDA,FL,Flagler
12037,FLORIDA,FL,Franklin
12039,FLORIDA,FL,Gadsden
12041,FLORIDA,FL,Gilchrist
12043,FLORIDA,FL,Glades
12045,FLORIDA,FL,Gulf
12047,FLORIDA,FL,Hamilton
12049,FLORIDA,FL,Hardee
12051,FLORIDA,FL,Hendry
12053,FLORIDA,FL,Hernando
12055,FLORIDA,FL,Highlands
12057,FLORIDA,FL,Hillsborough
12059,FLORIDA,FL,Holmes
12061,FLORIDA,FL,Indian River
12063,FLORIDA,FL,Jackson
12065,FLORIDA,FL,Jefferson
12067,FLORIDA,FL,Lafayette
12069,FLORIDA,FL,Lake
12071,FLORIDA,FL,Lee
12073,FLORIDA,FL,Leon
12075,FLORIDA,FL,Levy
12077,FLORIDA,FL,Liberty
12079,FLORIDA,FL,Madison
12081,FLORIDA,FL,Manatee
12083,FLORIDA,FL,Marion
12085,FLORIDA,FL,Martin
12086,FLORIDA,FL,Miami-Dade
12087,FLORIDA,FL,Monroe
12089,FLORIDA,FL,Nassau
12091,FLORIDA,FL,Okaloosa
12093,FLORIDA,FL,Okeechobee
12095,FLORIDA,FL,Orange
12097,FLORIDA,FL,Osceola
12099,FLORIDA,FL,Palm Beach
12101,FLORIDA,FL,Pasco
12103,FLORIDA,FL,Pinellas
12105,FLORIDA,FL,Polk
12107,FLORIDA,FL,Putnam
12109,FLORIDA,FL,St. Johns
12111,FLORIDA,FL,St. Lucie
12113,FLORIDA,FL,Santa Rosa
12115,FLORIDA,FL,Sarasota
12117,FLORIDA,FL,Seminole
12119,FLORIDA,FL,Sumter
12121,FLORIDA,FL,Suwannee
12123,FLORIDA,FL,Taylor
12125,FLORIDA,FL,Union
12127,FLORIDA,FL,Volusia
12129,FLORIDA,FL,Wakulla
12131,FLORIDA,FL,Walton
12133,FLORIDA,FL,Washington
13001,GEORGIA,GA,Appling
13003,GEORGIA,GA,Atkinson
13005,GEORGIA,GA,Bacon
13007,GEORGIA,GA,Baker
13009,GEORGIA,GA,Baldwin
13011,GEORGIA,GA,Banks
13013,GEORGIA,GA,Barrow
13015,GEORGIA,GA,Bartow
13017,GEORGIA,GA,Ben Hill
13019,GEORGIA,GA,Berrien
13021,GEORGIA,GA,Bibb
13023,GEORGIA,GA,Bleckley
13025,GEORGIA,GA,Brantley
13027,GEORGIA,GA,Brooks
13029,GEORGIA,GA,Bryan
13031,GEORGIA,GA,Bulloch
13033,GEORGIA,GA,Burke
13035,GEORGIA,GA,Butts
13037,GEORGIA,GA,Calhoun
13039,GEORGIA,GA,Camden
13043,GEORGIA,GA,Candler
13045,GEORGIA,GA,Carroll
13047,GEORGIA,GA,Catoosa
13049,GEORGIA,GA,Charlton
13051,GEORGIA,GA,Chatham
13053,GEORGIA,GA,Chattahoochee
13055,GEORGIA,GA,Chattooga
13057,GEORGIA,GA,Cherokee
13059,GEORGIA,GA,Clarke
13061,GEORGIA,GA,Clay
13063,GEORGIA,GA,Clayton
13065,GEORGIA,GA,Clinch
13067,GEORGIA,GA,Cobb
13069,GEORGIA,GA,Coffee
13071,GEORGIA,GA,Colquitt
13073,GEORGIA,GA,Columbia
13075,GEORGIA,GA,Cook
13077,GEORGIA,GA,Coweta
13079,GEORGIA,GA,Crawford
13081,GEORGIA,GA,Crisp
13083,GEORGIA,GA,Dade
13085,GEORGIA,GA,Dawson
13087,GEORGIA,GA,Decatur
13089,GEORGIA,GA,DeKalb
13091,GEORGIA,GA,Dodge
13093,GEORGIA,GA,Dooly
13095,GEORGIA,GA,Dougherty
13097,GEORGIA,GA,Douglas
13099,GEORGIA,GA,Early
13101,GEORGIA,GA,Echols
13103,GEORGIA,GA,Effingham
13105,GEORGIA,GA,Elbert
13107,GEORGIA,GA,Emanuel
13109,GEORGIA,GA,Evans
13111,GEORGIA,GA,Fannin
13113,GEORGIA,GA,Fayette
13115,GEORGIA,GA,Floyd
13117,GEORGIA,GA,Forsyth
13119,GEORGIA,GA,Franklin
13121,GEORGIA,GA,Fulton
13123,GEORGIA,GA,Gilmer
13125,GEORGIA,GA,Glascock
13127,GEORGIA,GA,Glynn
13129,GEORGIA,GA,Gordon
13131,GEORGIA,GA,Grady
13133,GEORGIA,GA,Greene
13135,GEORGIA,GA,Gwinnett
13137,GEORGIA,GA,Habersham
13139,GEORGIA,GA,Hall
13141,GEORGIA,GA,Hancock
13143,GEORGIA,GA,Haralson
13145,GEORGIA,GA,Harris
13147,GEORGIA,GA,Hart
13149,GEORGIA,GA,Heard
13151,GEORGIA,GA,Henry
13153,GEORGIA,GA,Houston
13155,GEORGIA,GA,Irwin
13157,GEORGIA,GA,Jackson
13159,GEORGIA,GA,Jasper
13161,GEORGIA,GA,Jeff Davis
13163,GEORGIA,GA,Jefferson
13165,GEORGIA,GA,Jenkins
13167,GEORGIA,GA,Johnson
13169,GEORGIA,GA,Jones
13171,GEORGIA,GA,Lamar
13173,GEORGIA,GA,Lanier
13175,GEORGIA,GA,Laurens
13177,GEORGIA,GA,Lee
13179,GEORGIA,GA,Liberty
13181,GEORGIA,GA,Lincoln
13183,GEORGIA,GA,Long
13185,GEORGIA,GA,Lowndes
13187,GEORGIA,GA,Lumpkin
13189,GEORGIA,GA,McDuffie
13191,GEORGIA,GA,McIntosh
13193,GEORGIA,GA,Macon
13195,GEORGIA,GA,Madison
13197,GEORGIA,GA,Marion
13199,GEORGIA,GA,Meriwether
13201,GEORGIA,GA,Miller
13205,GEORGIA,GA,Mitchell
13207,GEORGIA,GA,Monroe
13209,GEORGIA,GA,Montgomery
13211,GEORGIA,GA,Morgan
13213,GEORGIA,GA,Murray
13215,GEORGIA,GA,Muscogee
13217,GEORGIA,GA,Newton
13219,GEORGIA,GA,Oconee
13221,GEORGIA,GA,Oglethorpe
13223,GEORGIA,GA,Paulding
13225,GEORGIA,GA,Peach
13227,GEORGIA,GA,Pickens
13229,GEORGIA,GA,Pierce
13231,GEORGIA,GA,Pike
13233,GEORGIA,GA,Polk
13235,GEORGIA,GA,Pulaski
13237,GEORGIA,GA,Putnam
13239,GEORGIA,GA,Quitman
13241,GEORGIA,GA,Rabun
13243,GEORGIA,GA,Randolph
13245,GEORGIA,GA,Richmond
13247,GEORGIA,GA,Rockdale
13249,GEORGIA,GA,Schley
13251,GEORGIA,GA,Screven
13253,GEORGIA,GA,Seminole
13255,GEORGIA,GA,Spalding
13257,GEORGIA,GA,Stephens
13259,GEORGIA,GA,Stewart
13261,GEORGIA,GA,Sumter
13263,GEORGIA,GA,Talbot
13265,GEORGIA,GA,Taliaferro
13267,GEORGIA,GA,Tattnall
13269,GEORGIA,GA,Taylor
13271,GEORGIA,GA,Telfair
13273,GEORGIA,GA,Terrell
13275,GEORGIA,GA,Thomas
13277,GEORGIA,GA,Tift
13279,GEORGIA,GA,Toombs
13281,GEORGIA,GA,Towns
13283,GEORGIA,GA,Treutlen
13285,GEORGIA,GA,Troup
13287,GEORGIA,GA,Turner
13289,GEORGIA,GA,Twiggs
13291,GEORGIA,GA,Union
13293,GEORGIA,GA,Upson
13295,GEORGIA,GA,Walker
13297,GEORGIA,GA,Walton
13299,GEORGIA,GA,Ware
13301,GEORGIA,GA,Warren
13303,GEORGIA,GA,Washington
13305,GEORGIA,GA,Wayne
13307,GEORGIA,GA,Webster
13309,GEORGIA,GA,Wheeler
13311,GEORGIA,GA,White
13313,GEORGIA,GA,Whitfield
13315,GEORGIA,GA,Wilcox
13317,GEORGIA,GA,Wilkes
13319,GEORGIA,GA,Wilkinson
13321,GEORGIA,GA,Worth
15001,HAWAII,HI,Hawaii
15003,HAWAII,HI,Honolulu
15005,HAWAII,HI,Kalawao
15007,HAWAII,HI,Kauai
15009,HAWAII,HI,Maui
16001,IDAHO,ID,Ada
16003,IDAHO,ID,Adams
16005,IDAHO,ID,Bannock
16007,IDAHO,ID,Bear Lake
16009,IDAHO,ID,Benewah
16011,IDAHO,ID,Bingham
16013,IDAHO,ID,Blaine
16015,IDAHO,ID,Boise
16017,IDAHO,ID,Bonner
16019,IDAHO,ID,Bonneville
16021,IDAHO,ID,Boundary
16023,IDAHO,ID,Butte
16025,IDAHO,ID,Camas
16027,IDAHO,ID,Canyon
16029,IDAHO,ID,Caribou
16031,IDAHO,ID,Cassia
16033,IDAHO,ID,Clark
16035,IDAHO,ID,Clearwater
16037,IDAHO,ID,Custer
16039,IDAHO,ID,Elmore
16041,IDAHO,ID,Franklin
16043,IDAHO,ID,Fremont
16045,IDAHO,ID,Gem
16047,IDAHO,ID,Gooding
16049,IDAHO,ID,Idaho
16051,IDAHO,ID,Jefferson
16053,IDAHO,ID,Jerome
16055,IDAHO,ID,Kootenai
16057,IDAHO,ID,Latah
16059,IDAHO,ID,Lemhi
16061,IDAHO,ID,Lewis
16063,IDAHO,ID,Lincoln
16065,IDAHO,ID,Madison
16067,IDAHO,ID,Minidoka
16069,IDAHO,ID,Nez Perce
16071,IDAHO,ID,Oneida
16073,IDAHO,ID,Owyhee
16075,IDAHO,ID,Payette
16077,IDAHO,ID,Power
16079,IDAHO,ID,Shoshone
16081,IDAHO,ID,Teton
16083,IDAHO,ID,Twin Falls
16085,IDAHO,ID,Valley
16087,IDAHO,ID,Washington
17001,ILLINOIS,IL,Adams
17003,ILLINOIS,IL,Alexander
17005,ILLINOIS,IL,Bond
17007,ILLINOIS,IL,Boone
17009,ILLINOIS,IL,Brown
17011,ILLINOIS,IL,Bureau
17013,ILLINOIS,IL,Calhoun
17015,ILLINOIS,IL,Carroll
17017,ILLINOIS,IL,Cass
17019,ILLINOIS,IL,Champaign
17021,ILLINOIS,IL,Christian
17023,ILLINOIS,IL,Clark
17025,ILLINOIS,IL,Clay
17027,ILLINOIS,IL,Clinton
17029,ILLINOIS,IL,Coles
17031,ILLINOIS,IL,Cook
17033,ILLINOIS,IL,Crawford
17035,ILLINOIS,IL,Cumberland
17037,ILLINOIS,IL,DeKalb
17039,ILLINOIS,IL,De Witt
17041,ILLINOIS,IL,Douglas
17043,ILLINOIS,IL,DuPage
17045,ILLINOIS,IL,Edgar
17047,ILLINOIS,IL,Edwards
17049,ILLINOIS,IL,Effingham
17051,ILLINOIS,IL,Fayette
17053,ILLINOIS,IL,Ford
17055,ILLINOIS,IL,Franklin
17057,ILLINOIS,IL,Fulton
17059,ILLINOIS,IL,Gallatin
17061,ILLINOIS,IL,Greene
17063,ILLINOIS,IL,Grundy
17065,ILLINOIS,IL,Hamilton
17067,ILLINOIS,IL,Hancock
17069,ILLINOIS,IL,Hardin
17071,ILLINOIS,IL,Henderson
17073,ILLINOIS,IL,Henry
17075,ILLINOIS,IL,Iroquois
17077,ILLINOIS,IL,Jackson
17079,ILLINOIS,IL,Jasper
17081,ILLINOIS,IL,Jefferson
17083,ILLINOIS,IL,Jersey
17085,ILLINOIS,IL,Jo Daviess
17087,ILLINOIS,IL,Johnson
17089,ILLINOIS,IL,Kane
17091,ILLINOIS,IL,Kankakee
17093,ILLINOIS,IL,Kendall
17095,ILLINOIS,IL,Knox
17097,ILLINOIS,IL,Lake
17099,ILLINOIS,IL,LaSalle
17101,ILLINOIS,IL,Lawrence
17103,ILLINOIS,IL,Lee
17105,ILLINOIS,IL,Livingston
17107,ILLINOIS,IL,Logan
17109,ILLINOIS,IL,McDonough
17111,ILLINOIS,IL,McHenry
17113,ILLINOIS,IL,McLean
17115,ILLINOIS,IL,Macon
17117,ILLINOIS,IL,Macoupin
17119,ILLINOIS,IL,Madison
17121,ILLINOIS,IL,Marion
17123,ILLINOIS,IL,Marshall
17125,ILLINOIS,IL,Mason
17127,ILLINOIS,IL,Massac
17129,ILLINOIS,IL,Menard
17131,ILLINOIS,IL,Mercer
17133,ILLINOIS,IL,Monroe
17135,ILLINOIS,IL,Montgomery
17137,ILLINOIS,IL,Morgan
17139,ILLINOIS,IL,Moultrie
17141,ILLINOIS,IL,Ogle
17143,ILLINOIS,IL,Peoria
17145,ILLINOIS,IL,Perry
17147,ILLINOIS,IL,Piatt
17149,ILLINOIS,IL,Pike
17151,ILLINOIS,IL,Pope
17153,ILLINOIS,IL,Pulaski
17155,ILLINOIS,IL,Putnam
17157,ILLINOIS,IL,Randolph
17159,ILLINOIS,IL,Richland
17161,ILLINOIS,IL,Rock Island
17163,ILLINOIS,IL,St. Clair
17165,ILLINOIS,IL,Saline
17167,ILLINOIS,IL,Sangamon
17169,ILLINOIS,IL,Schuyler
17171,ILLINOIS,IL,Scott
17173,ILLINOIS,IL,Shelby
17175,ILLINOIS,IL,Stark
17177,ILLINOIS,IL,Stephenson
17179,ILLINOIS,IL,Tazewell
17181,ILLINOIS,IL,Union
17183,ILLINOIS,IL,Vermilion
17185,ILLINOIS,IL,Wabash
17187,ILLINOIS,IL,Warren
17189,ILLINOIS,IL,Washington
17191,ILLINOIS,IL,Wayne
17193,ILLINOIS,IL,White
17195,ILLINOIS,IL,Whiteside
17197,ILLINOIS,IL,Will
17199,ILLINOIS,IL,Williamson
17201,ILLINOIS,IL,Winnebago
17203,ILLINOIS,IL,Woodford
18001,INDIANA,IN,Adams
18003,INDIANA,IN,Allen
18005,INDIANA,IN,Bartholomew
18007,INDIANA,IN,Benton
18009,INDIANA,IN,Blackford
18011,INDIANA,IN,Boone
18013,INDIANA,IN,Brown
18015,INDIANA,IN,Carroll
18017,INDIANA,IN,Cass
18019,INDIANA,IN,Clark
18021,INDIANA,IN,Clay
18023,INDIANA,IN,Clinton
18025,INDIANA,IN,Crawford
18027,INDIANA,IN,Daviess
18029,INDIANA,IN,Dearborn
18031,INDIANA,IN,Decatur
18033,INDIANA,IN,DeKalb
18035,INDIANA,IN,Delaware
18037,INDIANA,IN,Dubois
18039,INDIANA,IN,Elkhart
18041,INDIANA,IN,Fayette
18043,INDIANA,IN,Floyd
18045,INDIANA,IN,Fountain
18047,INDIANA,IN,Franklin
18049,INDIANA,IN,Fulton
18051,INDIANA,IN,Gibson
18053,INDIANA,IN,Grant
18055,INDIANA,IN,Greene
18057,INDIANA,IN,Hamilton
18059,INDIANA,IN,Hancock
18061,INDIANA,IN,Harrison
18063,INDIANA,IN,Hendricks
18065,INDIANA,IN,Henry
18067,INDIANA,IN,Howard
18069,INDIANA,IN,Huntington
18071,INDIANA,IN,Jackson
18073,INDIANA,IN,Jasper
18075,INDIANA,IN,Jay
18077,INDIANA,IN,Jefferson
18079,INDIANA,IN,Jennings
18081,INDIANA,IN,Johnson
18083,INDIANA,IN,Knox
18085,INDIANA,IN,Kosciusko
18087,INDIANA,IN,LaGrange
18089,INDIANA,IN,Lake
18091,INDIANA,IN,LaPorte
18093,INDIANA,IN,Lawrence
18095,INDIANA,IN,Madison
18097,INDIANA,IN,Marion
18099,INDIANA,IN,Marshall
18101,INDIANA,IN,Martin
18103,INDIANA,IN,Miami
18105,INDIANA,IN,Monroe
18107,INDIANA,IN,Montgomery
18109,INDIANA,IN,Morgan
18111,INDIANA,IN,Newton
18113,INDIANA,IN,Noble
18115,INDIANA,IN,Ohio
18117,INDIANA,IN,Orange
18119,INDIANA,IN,Owen
18121,INDIANA,IN,Parke
18123,INDIANA,IN,Perry
18125,INDIANA,IN,Pike
18127,INDIANA,IN,Porter
18129,INDIANA,IN,Posey
